trend_id,date,collected_at,topic,description,category,sentiment_score,keyword_frequency,keywords,source_count,sources,hn_points,rank,recurred_next_day
f4295645c1d6,2026-07-26,2026-07-26 06:00:00+00:00,EU AI Act enforcement,EU AI Act enforcement moves forward as vendors publish updated documentation and roadmaps.,Policy,0.0,16,eu|ai-act|enforcement|compliance,4,arstechnica|hackernews|techcrunch|theverge,0,1,1
1d456751b02e,2026-07-26,2026-07-26 06:00:00+00:00,Subscription fatigue backlash,Subscription fatigue backlash moves forward as vendors publish updated documentation and roadmaps.,Apps,-0.25,14,subscription|pricing|churn|backlash,4,hackernews|reuters_tech|techcrunch|theverge,0,2,0
966619d250d7,2026-07-26,2026-07-26 06:00:00+00:00,Serverless GPU offerings,"Serverless GPU offerings faces backlash amid reports of failures, security worries and angry customers.",Cloud,-0.772,13,serverless|gpu|inference|scaling,4,reuters_tech|techcrunch|theverge|wired,0,3,0
45e400724a9a,2026-07-26,2026-07-26 06:00:00+00:00,RISC-V laptop prototypes,"RISC-V laptop prototypes sparks concern after critics warn of serious risks, delays and mounting costs.",Chips,-0.612,11,risc-v|laptop|open-isa|prototype,4,arstechnica|hackernews|reuters_tech|wired,0,4,0
b8a230e14bea,2026-07-26,2026-07-26 06:00:00+00:00,Messaging app encryption update,Messaging app encryption update is drawing coverage this week as several outlets report on the latest developments.,Apps,0.0,9,messaging|encryption|e2ee|privacy,3,arstechnica|hackernews|theverge,0,5,1
e04f2bcb0e29,2026-07-26,2026-07-26 06:00:00+00:00,Multi-cloud outage postmortem,Multi-cloud outage postmortem wins broad support after a successful rollout and encouraging benchmarks.,Cloud,0.927,7,outage|postmortem|availability|region|sla,3,reuters_tech|theverge|wired,0,6,1
af4e8b0a0b54,2026-07-26,2026-07-26 06:00:00+00:00,AI coding assistants,AI coding assistants is drawing coverage this week as several outlets report on the latest developments.,AI,0.0,6,copilot|code|assistant|developer,3,reuters_tech|techcrunch|theverge,0,7,0
3fa96c9b204a,2026-07-26,2026-07-26 06:00:00+00:00,Mega-round for robotics startup,"Mega-round for robotics startup: frustrated users and regulators criticise a troubled, poorly handled rollout.",Startups,-0.852,8,robotics|funding|humanoid|series-c,2,techcrunch|wired,0,8,0
1c742dc968c2,2026-07-26,2026-07-26 06:00:00+00:00,App store fee changes,App store fee changes: companies outline plans and timelines while observers wait for more detail.,Apps,0.0,4,app-store|fees|commission|developers,2,theverge|wired,0,9,0
ba1f5059d47c,2026-07-26,2026-07-26 06:00:00+00:00,Multimodal video models,Multimodal video models wins broad support after a successful rollout and encouraging benchmarks.,AI,0.927,4,video|multimodal|generation|diffusion,1,theverge,0,10,1
6eb1555be065,2026-07-27,2026-07-27 06:00:00+00:00,Climate-tech accelerator cohort,Climate-tech accelerator cohort: companies outline plans and timelines while observers wait for more detail.,Startups,0.0,20,climate-tech|accelerator|cohort|seed,5,hackernews|reuters_tech|techcrunch|theverge|wired,0,1,1
919f64e067c1,2026-07-27,2026-07-27 06:00:00+00:00,Super-app payments push,Super-app payments push is drawing coverage this week as several outlets report on the latest developments.,Apps,0.0,18,super-app|payments|wallet|fintech,5,arstechnica|hackernews|techcrunch|theverge|wired,0,2,1
038c8aa34a97,2026-07-27,2026-07-27 06:00:00+00:00,Small language models,Small language models is drawing coverage this week as several outlets report on the latest developments.,AI,0.0,17,slm|small-model|efficiency|distillation,5,arstechnica|hackernews|techcrunch|theverge|wired,0,3,0
59f498ad8347,2026-07-27,2026-07-27 06:00:00+00:00,EU AI Act enforcement,EU AI Act enforcement: companies outline plans and timelines while observers wait for more detail.,Policy,0.0,9,eu|ai-act|enforcement|compliance,4,hackernews|techcrunch|theverge|wired,0,4,0
ea7f8443fd75,2026-07-27,2026-07-27 06:00:00+00:00,Zero-day in VPN appliances,Zero-day in VPN appliances: analysts praise strong momentum as adoption accelerates across the industry.,Cybersecurity,0.784,8,zero-day|vpn|patch|exploit,4,hackernews|reuters_tech|theverge|wired,0,5,1
6a475a25b9d3,2026-07-27,2026-07-27 06:00:00+00:00,Messaging app encryption update,Messaging app encryption update moves forward as vendors publish updated documentation and roadmaps.,Apps,0.0,13,messaging|encryption|e2ee|privacy,3,arstechnica|reuters_tech|techcrunch,0,6,1
1d05989bf22b,2026-07-27,2026-07-27 06:00:00+00:00,Multi-cloud outage postmortem,Multi-cloud outage postmortem moves forward as vendors publish updated documentation and roadmaps.,Cloud,0.0,12,outage|postmortem|availability|region|sla,3,arstechnica|hackernews|reuters_tech,0,7,0
